Service Name,Status,Last Seen
Nice.Common.Service.DataAcquisition.service,failed,22h ago
connectors.service,active,Running
connectorsClonedInstance.service,unknown,inactive (dead)
dataprocessing,inactive,6 months 7 days ago
Nice.Common.Service.Reconciliation.service,unknown,Not managed
rabbitmq-server.service,active,Running
Nice.Common.Service.MetadataIngestion.service,inactive,4 months 2 days ago
Nice.EmployeeRandomSampling.service,active,Running
Nice.GenericIngestService.service,active,Running
move-processed-emails-to-s3.service,active,Running

 
